Date,Price,Geo_lat,Geo_lon,Building_type
2018-09-08,1720000,54.950903,82.962821,1
2018-09-08,2400000,54.979454,83.05062,3
2018-09-08,2600000,55.0078245,82.9674939,0
2018-09-08,1550000,54.945609,82.96027,1
2018-09-08,950000,54.9439663,82.964339,1
2018-09-08,1141536,55.0303931,83.0155452,1
2018-09-08,2200000,55.012889,83.000083,1
2018-09-08,1750000,55.014108,83.0016615,1
2018-09-08,906660,55.0303931,83.0155452,1
2018-09-08,1948000,55.0303931,83.0155452,1
2018-09-08,1560000,55.0333136,83.0250255,1
2018-09-08,1600000,54.9471407,82.9585961,1
2018-09-08,1430000,55.0139939,83.0033194,1
2018-09-08,1250000,54.943893,82.96749,1
2018-09-08,985310,55.0303931,83.0155452,1
2018-09-08,1260000,55.0303931,83.0155452,1
2018-09-08,1500000,54.9460168,82.9728021,1
2018-09-08,1800000,55.017212,83.00393,1
2018-09-08,1481000,55.0139939,83.0033194,1
2018-09-08,1550000,55.0139939,83.0033194,1
2018-09-08,1280000,55.0303931,83.0155452,1
2018-09-08,1700000,54.9213159,82.9911603,3
2018-09-08,1250000,55.014108,83.0016615,1
2018-09-08,940000,55.0303931,83.0155452,1
2018-09-08,1200000,55.0128402,83.0018862,1
2018-09-08,2000000,54.9446991,82.9679225,1
2018-09-08,800000,54.942858,82.963881,1
2018-09-08,2700000,45.114849,38.986219,2
2018-09-08,1905000,55.013916,83.00329,1
2018-09-08,2190000,54.946644,82.96875,1
2018-09-08,1800000,54.946644,82.96875,1
2018-09-08,1200000,55.014108,83.0016615,1
2018-09-08,1240800,54.942853,82.96,1
2018-09-08,995000,55.0303931,83.0155452,1
2018-09-08,2737000,44.5911683,38.0426932,2
2018-09-08,980000,54.944993,82.962031,1
2018-09-08,1120600,54.945236,82.961357,1
2018-09-08,2475000,44.8828257,37.3354416,2
2018-09-08,1320000,55.0333136,83.0250255,1
2018-09-08,2150000,55.0169091,83.0067324,1
2018-09-08,1630000,54.943893,82.96749,1
2018-09-08,1850000,55.0333136,83.0250255,1
2018-09-08,1400000,55.020946,83.008599,1
2018-09-08,1150000,55.0144633,83.0020738,1
2018-09-08,974100,54.944957,82.96274,1
2018-09-08,1850000,55.014108,83.0016615,1
2018-09-08,1948000,55.0303931,83.0155452,1
2018-09-08,975000,55.013916,83.00329,1
2018-09-08,2400000,55.0128402,83.0018862,1
2018-09-08,4200000,55.0020643,83.0151639,3
2018-09-08,1300000,54.94702,82.972235,1
2018-09-08,1162216,55.0303931,83.0155452,1
2018-09-08,2310000,55.0168082,83.0089087,1
2018-09-08,10250000,44.5548253,38.0750783,2
2018-09-08,1300000,54.950898,82.964348,1
2018-09-08,3450000,43.6520095,39.7150752,2
2018-09-08,1800000,45.052551,39.033138,2
2018-09-08,11500000,45.0653921,38.9570975,2
2018-09-08,3420040,45.1028976,38.978231,2
2018-09-08,7500000,43.595028,39.736366,1
2018-09-08,4665500,45.0614045,38.9456725,2
2018-09-08,12834500,55.6737145,37.7455594,2
2018-09-08,4990050,55.6737145,37.7455594,2
2018-09-08,8686800,55.6737145,37.7455594,2
2018-09-08,4900000,59.999408,30.206103,2
2018-09-08,10922400,55.6737145,37.7455594,2
2018-09-08,2900000,44.6727019,37.7873634,2
