date,price,level,levels,rooms,area,kitchen_area,geo_lat,geo_lon,building_type,object_type,postal_code,street_id,id_region,house_id,time,region
2021-01-01,2300000,4,16,1,37.8,10.4,45.0025688,39.0737225,5,0,350065.0,523822.0,23.0,2427486.0,,
2021-01-01,1250000,9,9,1,30.0,6.0,53.8944248,87.1160501,2,0,654044.0,170136.0,42.0,2048667.0,,
2021-01-01,1300000,2,5,2,49.0,9.0,45.3424262,42.849147,4,0,356530.0,537481.0,26.0,2506423.0,,
2021-01-01,4200000,13,14,2,54.0,22.0,57.1065328,65.567133,3,0,625033.0,451699.0,72.0,853877.0,,
2021-01-01,2100000,1,3,3,64.0,-100.0,52.2024175,107.6388035,2,0,671260.0,,3.0,1515247.0,,
2021-01-01,86000000,26,31,4,192.7,0.0,55.6527298,37.4755761,3,0,119571.0,525896.0,77.0,1625548.0,,
2021-01-01,2500000,1,4,1,30.6,6.0,44.7357301,37.7454705,3,0,353912.0,342761.0,23.0,1159090.0,,
2021-01-01,2600000,5,5,2,41.2,0.0,57.139984,65.5304,4,0,625008.0,391508.0,72.0,1794282.0,,
2021-01-01,4750000,8,9,2,63.7,18.0,61.2606076,73.2524282,3,0,628433.0,,86.0,1948998.0,,
2021-01-01,3850000,1,10,2,57.6,0.0,54.9808351,82.8461462,0,2,,533661.0,54.0,1646432.0,,
2021-01-01,4000000,7,9,1,49.6,25.2,45.0381364,38.9212563,0,0,350004.0,209279.0,23.0,2170951.0,,
2021-01-01,5150000,4,9,1,56.7,24.0,44.8925352,37.3379518,3,0,353451.0,379013.0,23.0,1171277.0,,
2021-01-01,3300000,2,15,3,80.0,9.0,56.1436041,47.1860848,0,0,428034.0,431040.0,21.0,2088406.0,,
2021-01-01,2200000,5,5,3,58.0,7.0,53.1575784,48.4808286,2,0,446001.0,378439.0,63.0,1377793.0,,
2021-01-01,1300000,1,2,2,53.0,-100.0,56.1849613,50.4116345,4,0,422050.0,504899.0,16.0,1229570.0,,
2021-01-01,2554500,4,24,1,39.3,18.7,45.073624,39.041699,0,2,350901.0,287609.0,23.0,2479869.0,,
2021-01-01,6418000,21,32,-1,20.0,5.0,55.8054647,37.7144696,3,2,107392.0,433375.0,77.0,2011990.0,,
2021-01-01,2000000,7,9,1,31.7,6.8,48.6114325,44.4296479,0,0,400067.0,,34.0,,,
2021-01-01,3500000,8,15,-1,30.82,0.0,54.999158,82.9505639,1,2,630083.0,256876.0,54.0,1537022.0,,
2021-01-01,10000000,3,10,4,142.4,0.0,56.0402615,92.9046334,4,0,660077.0,275162.0,24.0,684486.0,,
2021-01-01,8500000,3,3,2,76.5,16.0,44.593334,33.469125,0,0,299038.0,,92.0,,,
2021-01-01,1750000,5,5,2,58.0,0.0,54.0157668,38.2970915,0,0,301650.0,518986.0,71.0,1887095.0,,
2021-01-01,21000000,4,18,4,92.9,12.0,55.703682,37.774426,2,0,109443.0,212710.0,77.0,2330403.0,,
2021-01-01,2070000,9,9,1,31.9,6.0,48.716913,44.5116111,0,0,400087.0,,34.0,,,
2021-01-01,1500000,4,5,3,50.4,-100.0,67.939354,32.953266,4,0,184511.0,,51.0,,,
2021-01-01,2366000,19,26,1,55.0,15.0,51.5034082,46.1579123,3,0,413106.0,193591.0,64.0,1282933.0,,
2021-01-01,4100000,8,16,1,43.7,13.4,44.732803,37.751667,2,0,353907.0,342761.0,23.0,1671428.0,,
2021-01-01,1550000,1,9,-1,26.0,-100.0,53.6987661,91.4052248,4,0,655009.0,482386.0,19.0,1407631.0,,
2021-01-01,3500000,1,9,3,45.0,0.0,56.4841885,85.0224328,4,0,634021.0,578645.0,70.0,2379379.0,,
2021-01-01,2686370,2,15,-1,26.5,-100.0,59.89385,30.45181,3,2,193230.0,561440.0,78.0,2692866.0,,
2021-01-01,870000,9,9,2,51.0,9.0,54.0055438,86.7067081,4,0,652718.0,344423.0,42.0,618741.0,,
2021-01-01,3965000,20,23,1,30.5,13.0,60.030667,30.459275,0,2,195299.0,232807.0,78.0,1575857.0,,
2021-01-01,6220000,15,18,3,71.0,10.0,51.8374815,107.5791787,0,2,670000.0,570143.0,3.0,2446868.0,,
2021-01-01,5350000,7,9,2,65.0,12.0,56.0559108,92.8962619,1,2,660125.0,373170.0,24.0,1171299.0,,
2021-01-01,3550000,9,9,2,68.1,12.9,54.684059,20.571833,0,0,236034.0,,39.0,,,
2021-01-01,8200000,16,24,3,100.0,-100.0,45.1274616,38.9633307,3,2,,400564.0,23.0,927222.0,,
2021-01-01,4450000,1,4,-1,36.0,6.0,55.920769,37.880171,3,0,141075.0,582656.0,50.0,1817086.0,,
2021-01-01,3200000,5,17,2,43.6,0.0,57.5814688,39.9145764,0,0,150006.0,436018.0,76.0,1435982.0,,
